Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol.;Perubahan%
29/05/2024;17,823;18,04;18,043;17,808;;-1,48%
28/05/2024;18,09;18,46;18,595;18,05;0,68K;-1,36%
24/05/2024;18,34;18,46;18,485;18,3;0,59K;-0,78%
23/05/2024;18,485;18,815;19,005;18,38;0,52K;-1,41%
22/05/2024;18,75;18,58;18,8;18,565;0,34K;0,86%
21/05/2024;18,59;18,83;18,835;18,565;0,33K;-1,38%
20/05/2024;18,85;18,77;18,865;18,7;0,33K;0,51%
17/05/2024;18,755;19,09;19,145;18,725;0,29K;-1,81%
16/05/2024;19,1;19,035;19,18;18,83;0,27K;-0,05%
15/05/2024;19,11;18,9;19,16;18,73;0,27K;2,11%
14/05/2024;18,715;18,648;18,93;18,558;;0,05%
13/05/2024;18,705;19,25;19,25;19,25;0,01K;-2,86%
10/05/2024;19,255;18,76;18,84;18,76;0,00K;3,05%
09/05/2024;18,685;18,44;19,005;18,44;;2,02%
08/05/2024;18,315;18,4;18,483;18,395;;0,11%
07/05/2024;18,295;18,405;18,405;18,405;0,00K;-0,60%
06/05/2024;18,405;18,4;18,42;18,18;0,01K;-1,79%
03/05/2024;18,74;18,65;18,65;18,65;0,00K;3,14%
02/05/2024;18,17;18,445;18,445;18,3;0,01K;-4,22%
01/05/2024;18,97;19,085;19,165;19,085;0,02K;0,42%
30/04/2024;18,89;19,105;19,15;18,85;0,15K;-1,10%
